asset_id,name,asset_type,city,state,nav_usd,hazard_bucket,insurance_status,data_quality,lat,lon
ST-AST-001,Harbor Point Office Tower,office,Miami,FL,23506781.73,hurricane_flood,exclusions_flood,clean,25.77,-80.19
ST-AST-002,Bayou Logistics Park,industrial,Houston,TX,12252446.93,flood,full,clean,29.75,-95.36
ST-AST-003,Sunbelt Multifamily I,multifamily,Tampa,FL,14573604.01,hurricane,in_market_review,incomplete,27.95,-82.45
ST-AST-004,Piedmont Data Campus,datacenter,Atlanta,GA,27266241.49,heat_grid,in_market_review,clean,33.76,-84.39
ST-AST-005,Desert Edge Solar + BESS,renewables,Phoenix,AZ,20420467.48,heat_drought,in_market_review,clean,33.44,-112.08
ST-AST-006,Cascade Wind Ridge,renewables,Portland,OR,13737488.77,wildfire,full,clean,45.52,-122.67
ST-AST-007,Central Valley Cold Storage,industrial,Sacramento,CA,11781077.74,wildfire_flood,exclusions_flood,clean,38.58,-121.49
ST-AST-008,Great Lakes Warehouse Cluster,industrial,Chicago,IL,12436519.31,flood,full,incomplete,41.87,-87.64
ST-AST-009,Capital Corridor Medical RE,healthcare_re,Boston,MA,11497968.59,coastal,exclusions_flood,incomplete,42.36,-71.06
ST-AST-010,Gulfport Terminal Leasehold,infra,New Orleans,LA,19567614.13,flood_hurricane,exclusions_flood,incomplete,29.95,-90.08
ST-AST-011,Front Range Business Park,office_flex,Denver,CO,9484610.2,wildfire_hail,full,clean,39.74,-104.99
ST-AST-012,Norfolk Port Adjacent Yard,infra,Norfolk,VA,16258432.92,flood,exclusions_flood,incomplete,36.85,-76.29
ST-AST-013,SoCal Last-Mile Hub,logistics,Los Angeles,CA,14134678.83,wildfire,full,clean,34.05,-118.24
ST-AST-014,Empire State Floor Plate,office,New York,NY,25275436.57,coastal_flood,exclusions_flood,clean,40.75,-73.99
ST-AST-015,Carolinas Retail Strip,retail,Charleston,SC,8458955.99,hurricane,sublimited,clean,32.78,-79.93
ST-AST-016,Prairie Grain Elevator REIT,ag_infra,Kansas City,MO,12109167.69,flood_tornado,sublimited,clean,39.1,-94.58
